

VEHICLE
NUMBER     CAPACITY
  100         500

CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0        360          0   
    1      20         40          0          0        360          0   
    2      37         20          0          0        360          0   
    3      40         45         13          0        180          0   
    4      55         20         19          0        180          0   
    5      15         30         26          0        90           0   
    6      25         30          3          0        90           0   
    7      20         50          5          0        180          0   
    8      10         43          9          0        30           0   
    9      45         60         16          0        90           0   
   10      30         60         16          0        90           0   
   11      35         65         12          0        90           0   
   12      50         50         19          0        90           0   
   13      30         25         23          0        180          0   
   14      40         10         20          0        180          0   
   15      30          5          8          0        180          0   
   16      10         20         19          0        30           0  
   17       5         30          2          0        30           0  
   18      30         40         12          0        90           0 
   19      15         60         17          0        90           0  
   20      45         65          9          0        180          0  
   21      45         22         11          0        180          0  
   22      45         10         18          0        90           0  
   23      55          5         29          0        90           0  
   24      40         35          3          0        180          0 
   25      65         20          6          0        30           0  
   26      45         30         17          0        90           0   
