(6 0 1 0),(7 1 0 0),(8 0 1 0),(9 1 2 0),(10 1 1 0),(11 1 2 0),(12 1 0 0),(13 1 0 0),(14 0 0 0),(15 1 0 0),(16 1 0 0),(17 0 0 0),(18 0 2 0),(19 3 0 0),(20 0 1 0),(21 0 1 0),(22 1 0 0),(23 0 1 0),(24 0 2 0),(25 0 0 0)
(6 2 0 0),(7 1 0 0),(8 0 0 0),(9 2 1 0),(10 0 0 0),(11 1 0 0),(12 2 0 0),(13 1 1 0),(14 0 0 0),(15 1 2 0),(16 2 0 0),(17 1 0 0),(18 1 1 0),(19 1 2 0),(20 1 0 0),(21 1 1 0),(22 0 1 0),(23 1 1 0),(24 0 2 0),(25 1 0 0)
(6 0 0 0),(7 2 0 0),(8 1 1 0),(9 3 1 0),(10 0 0 0),(11 0 0 0),(12 0 0 0),(13 1 0 0),(14 0 2 0),(15 0 0 0),(16 1 1 0),(17 1 0 0),(18 2 1 0),(19 1 1 0),(20 0 0 0),(21 2 1 0),(22 1 0 0),(23 0 0 0),(24 0 0 0),(25 1 1 0)
(6 0 0 0),(7 0 1 0),(8 1 0 0),(9 1 0 0),(10 1 0 0),(11 0 0 0),(12 1 3 0),(13 0 0 0),(14 0 1 0),(15 3 2 0),(16 1 1 0),(17 0 0 0),(18 1 1 0),(19 1 0 0),(20 1 2 0),(21 1 0 0),(22 0 1 0),(23 0 0 0),(24 1 1 0),(25 1 0 0)
(6 0 0 0),(7 0 0 0),(8 0 0 0),(9 1 0 0),(10 0 0 0),(11 0 0 0),(12 1 0 0),(13 0 2 0),(14 0 0 0),(15 0 0 0),(16 1 1 0),(17 0 0 0),(18 0 0 0),(19 1 1 0),(20 0 0 0),(21 0 0 0),(22 0 0 0),(23 0 1 0),(24 0 0 0),(25 0 1 0)
(6 0 3 0),(7 2 1 0),(8 0 0 0),(9 1 1 0),(10 0 1 0),(11 1 2 0),(12 1 1 0),(13 0 3 0),(14 2 0 0),(15 0 0 0),(16 0 3 0),(17 0 0 0),(18 0 1 0),(19 1 2 0),(20 1 1 0),(21 1 0 0),(22 0 0 0),(23 0 0 0),(24 0 1 0),(25 1 3 0)
(6 0 1 0),(7 0 1 0),(8 0 2 0),(9 0 0 0),(10 0 1 0),(11 1 0 0),(12 0 2 0),(13 0 0 0),(14 1 0 0),(15 0 2 0),(16 0 0 0),(17 0 0 0),(18 1 1 0),(19 2 2 0),(20 1 2 0),(21 0 0 0),(22 2 1 0),(23 2 1 0),(24 1 1 0),(25 0 0 0)
(6 1 0 0),(7 0 0 0),(8 1 1 0),(9 0 0 0),(10 0 0 0),(11 0 1 0),(12 0 0 0),(13 1 1 0),(14 2 2 0),(15 1 1 0),(16 1 0 0),(17 0 0 0),(18 2 3 0),(19 1 2 0),(20 0 1 0),(21 2 1 0),(22 0 0 0),(23 0 2 0),(24 2 0 0),(25 0 0 0)
(6 1 0 0),(7 2 1 0),(8 1 0 0),(9 0 0 0),(10 0 0 0),(11 2 1 0),(12 1 1 0),(13 1 1 0),(14 0 1 0),(15 1 0 0),(16 0 0 0),(17 0 0 0),(18 0 0 0),(19 1 0 0),(20 1 1 0),(21 0 0 0),(22 0 1 0),(23 1 1 0),(24 3 2 0),(25 0 2 0)
(6 0 0 0),(7 0 1 0),(8 0 0 0),(9 0 0 0),(10 1 0 0),(11 1 0 0),(12 1 0 0),(13 0 0 0),(14 0 0 0),(15 0 0 0),(16 1 2 0),(17 1 0 0),(18 0 0 0),(19 1 1 0),(20 3 0 0),(21 0 0 0),(22 2 0 0),(23 0 0 0),(24 0 1 0),(25 1 0 0)
(6 1 0 0),(7 0 1 0),(8 1 0 0),(9 0 0 0),(10 0 0 0),(11 1 1 0),(12 1 0 0),(13 1 2 0),(14 0 1 0),(15 1 0 0),(16 0 2 0),(17 2 0 0),(18 1 0 0),(19 0 1 0),(20 2 1 0),(21 1 1 0),(22 0 1 0),(23 0 0 0),(24 0 1 0),(25 0 0 0)
(6 0 0 0),(7 0 0 0),(8 0 0 0),(9 1 0 0),(10 1 1 0),(11 0 0 0),(12 1 0 0),(13 0 0 0),(14 0 0 0),(15 0 0 0),(16 1 0 0),(17 0 0 0),(18 0 0 0),(19 0 0 0),(20 2 0 0),(21 0 1 0),(22 2 0 0),(23 1 1 0),(24 0 0 0),(25 0 0 0)
(6 0 0 0),(7 0 0 0),(8 0 1 0),(9 1 0 0),(10 1 0 0),(11 0 0 0),(12 0 0 0),(13 0 0 0),(14 0 0 0),(15 2 1 0),(16 0 0 0),(17 0 0 0),(18 0 0 0),(19 1 1 0),(20 0 0 0),(21 0 1 0),(22 0 0 0),(23 0 0 0),(24 0 1 0),(25 1 0 0)
(6 0 0 0),(7 0 1 0),(8 1 0 0),(9 0 0 0),(10 0 1 0),(11 0 0 0),(12 0 1 0),(13 0 1 0),(14 0 1 0),(15 0 0 0),(16 0 2 0),(17 0 1 0),(18 1 0 0),(19 1 3 0),(20 1 0 0),(21 0 0 0),(22 0 0 0),(23 0 1 0),(24 1 1 0),(25 1 2 0)
